module,platform
platform/iphone/xcode/godot_xcode/godot_ios/Images.xcassets/AppIcon.appiconset,iPhone
platform/iphone/xcode/godot_xcode/godot_ios.xcodeproj,iPhone
platform/iphone/xcode/godot_xcode/godot_ios.xcodeproj/project.xcworkspace,iPhone
platform/windows,Windows
platform/windows/export,Windows
platform/winrt,Windows
platform/winrt/export,Windows
platform/winrt/include,Windows
platform/winrt/include/EGL,Windows
platform/winrt/include/GLES2,Windows
platform/winrt/include/GLES3,Windows
platform/winrt/include/GLSLANG,Windows
platform/winrt/include/KHR,Windows
platform/x11,Linux
platform/x11/export,Linux
scene,Independente
scene/2d,Independente
scene/3d,Independente
scene/animation,Independente
scene/audio,Independente
scene/gui,Independente
scene/io,Independente
scene/main,Independente
scene/resources,Independente
scene/resources/default_theme,Independente
scene/resources/default_theme/source,Independente
servers/audio,Independente
servers/audio/effects,Independente
tools/dist/docker/scripts,Android
tools/dist/ios_xcode/godot_xcode,iPhone
tools/dist/ios_xcode/godot_xcode/godot_ios,iPhone
tools/dist/ios_xcode/godot_xcode/godot_ios/en.lproj,iPhone
tools/dist/ios_xcode/godot_xcode/godot_ios/Images.xcassets/AppIcon.appiconset,iPhone
tools/dist/ios_xcode/godot_xcode/godot_ios.xcodeproj,iPhone
tools/dist/ios_xcode/godot_xcode/godot_ios.xcodeproj/project.xcworkspace,iPhone
tools/docker/scripts,Android
tools/freetype/freetype/include/freetype/internal/services,Independente
tools/freetype/freetype/src,Independente
tools/freetype/freetype/src/autofit,Independente
tools/freetype/freetype/src/base,Independente
tools/freetype/freetype/src/bdf,Independente
tools/freetype/freetype/src/cache,Independente
tools/freetype/freetype/src/cff,Independente
tools/freetype/freetype/src/cid,Independente
tools/freetype/freetype/src/gxvalid,Independente
tools/freetype/freetype/src/otvalid,Independente
tools/freetype/freetype/src/pcf,Independente
tools/freetype/freetype/src/pfr,Independente
tools/freetype/freetype/src/psaux,Independente
tools/freetype/freetype/src/pshinter,Independente
tools/freetype/freetype/src/psnames,Independente
tools/freetype/freetype/src/raster,Independente
tools/freetype/freetype/src/sfnt,Independente
tools/freetype/freetype/src/smooth,Independente
tools/freetype/freetype/src/truetype,Independente
tools/freetype/freetype/src/type1,Independente
tools/freetype/freetype/src/type42,Independente
tools/freetype/freetype/src/winfonts,Independente
tools/ios_xcode_template,iPhone
tools/ios_xcode_template/godot_ios,iPhone
tools/ios_xcode_template/godot_ios/en.lproj,iPhone
tools/ios_xcode_template/godot_iosTests,iPhone
tools/ios_xcode_template/godot_iosTests/en.lproj,iPhone
tools/ios_xcode_template/godot_ios.xcodeproj,iPhone
tools/ios_xcode_template/godot_ios.xcodeproj/project.xcworkspace,iPhone
tools/ios_xcode_template/godot_ios.xcodeproj/xcuserdata/punto.xcuserdatad/xcschemes,iPhone
